;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
166;0.836;0.626;9;-10.143;0;0.0335;0.0943;0.742;0.153;0.898;114.657;disco
167;0.59;0.868;5;-5.832;0;0.048;0.0962;0.000322;0.442;0.798;184.348;disco
168;0.879;0.626;7;-6.344;1;0.0604;0.205;6.07e-05;0.056;0.968;110.864;disco
169;0.796;0.892;0;-8.31;1;0.0333;0.00475;0.0187;0.0717;0.965;120.4;disco
170;0.594;0.906;1;-5.536;1;0.0594;0.169;0.00122;0.0778;0.892;104.411;disco
171;0.595;0.921;0;-7.329;1;0.0987;0.179;0.0;0.812;0.937;102.35;disco
172;0.828;0.417;0;-14.136;0;0.0328;0.00709;0.762;0.0703;0.945;100.28;disco
173;0.629;0.615;11;-10.972;0;0.0433;0.169;7.23e-05;0.132;0.673;118.805;disco
174;0.733;0.65;11;-11.878;1;0.0658;0.0133;0.00437;0.627;0.65;120.944;disco
175;0.863;0.726;9;-6.649;1;0.0494;0.415;0.0299;0.0735;0.93;132.574;disco
176;0.631;0.713;5;-7.124;1;0.0311;0.00204;0.000344;0.414;0.891;130.949;disco
177;0.589;0.384;10;-15.075;0;0.0332;0.112;2.8e-05;0.0596;0.354;132.909;disco
178;0.551;0.89;0;-3.819;0;0.126;0.175;2.53e-05;0.11;0.67;121.752;disco
179;0.912;0.534;6;-5.319;0;0.0366;0.139;0.102;0.0387;0.963;114.681;disco
180;0.934;0.646;11;-5.727;0;0.228;0.0303;0.00614;0.0776;0.832;116.351;disco
181;0.73;0.622;7;-11.7;0;0.0532;0.269;0.00874;0.111;0.752;90.973;disco
182;0.731;0.804;2;-6.62;1;0.106;0.22;0.0;0.15;0.761;118.933;disco
183;0.734;0.42;2;-12.036;1;0.028;0.188;0.242;0.0826;0.462;94.161;disco
184;0.472;0.71;0;-8.852;1;0.0599;0.278;1.36e-06;0.103;0.527;120.052;disco
185;0.739;0.917;5;-4.459;1;0.0504;0.177;0.119;0.0834;0.749;110.163;disco
186;0.808;0.485;0;-8.829;1;0.056;0.0761;0.00414;0.0477;0.714;122.659;disco
187;0.631;0.563;2;-12.135;0;0.0552;0.398;0.0;0.0733;0.947;117.963;disco
188;0.617;0.879;0;-7.564;0;0.0455;0.127;5.71e-05;0.339;0.746;114.453;disco
189;0.75;0.785;6;-10.926;1;0.0591;0.0278;0.0;0.0601;0.752;126.361;disco
190;0.801;0.446;10;-14.605;1;0.0735;0.74;0.038;0.0832;0.925;97.898;disco
191;0.677;0.667;5;-8.819;1;0.0264;0.0188;0.801;0.168;0.871;117.11;disco
192;0.682;0.925;2;-6.526;1;0.0483;0.000907;7.73e-05;0.0655;0.876;140.772;disco
193;0.774;0.641;1;-10.193;1;0.0799;0.0765;0.0;0.0867;0.875;113.256;disco
194;0.703;0.755;5;-9.337;1;0.0749;0.00947;0.02;0.17;0.731;117.128;disco
195;0.747;0.548;11;-10.506;0;0.0336;0.309;0.155;0.0592;0.675;105.13;disco
196;0.791;0.734;5;-5.464;1;0.0629;0.522;0.00165;0.167;0.962;105.854;disco
197;0.678;0.688;1;-7.83;1;0.0544;0.0611;0.0;0.0671;0.887;114.098;disco
198;0.663;0.792;0;-5.476;1;0.0311;0.517;0.000139;0.111;0.847;103.009;disco
199;0.781;0.556;5;-13.067;0;0.0611;0.0661;0.0907;0.0339;0.968;125.999;disco
200;0.848;0.666;0;-6.547;1;0.274;0.173;0.000699;0.129;0.744;96.662;hiphop
201;0.862;0.642;6;-13.652;0;0.101;0.102;0.0;0.272;0.765;99.201;hiphop
202;0.875;0.745;1;-5.878;1;0.269;0.0227;2.37e-06;0.287;0.749;95.201;hiphop
203;0.759;0.756;4;-8.145;0;0.266;0.0903;2.36e-06;0.265;0.613;87.059;hiphop
204;0.737;0.89;4;-8.443;1;0.158;0.00556;0.00171;0.0801;0.809;105.848;hiphop
205;0.697;0.687;6;-11.111;1;0.379;0.26;4.8e-05;0.403;0.866;90.247;hiphop
206;0.782;0.589;1;-4.827;1;0.189;0.148;0.0;0.164;0.869;90.438;hiphop
207;0.904;0.577;1;-7.293;1;0.132;0.125;0.0;0.115;0.7;102.691;hiphop
208;0.934;0.459;1;-7.654;1;0.189;0.0516;0.0;0.222;0.697;103.04;hiphop
209;0.794;0.95;1;-8.78;1;0.294;0.124;7.71e-05;0.133;0.324;94.984;hiphop
210;0.9;0.619;4;-6.518;0;0.312;0.203;0.00156;0.0647;0.864;94.121;hiphop
211;0.704;0.642;1;-10.11;1;0.39;0.00704;1.43e-06;0.161;0.72;92.09;hiphop
212;0.835;0.456;6;-10.195;0;0.266;0.38;0.00359;0.16;0.224;101.889;hiphop
213;0.712;0.895;10;-4.212;0;0.254;0.181;1.8e-05;0.108;0.727;96.338;hiphop
214;0.825;0.639;4;-6.607;1;0.185;0.0731;0.0225;0.0612;0.866;97.389;hiphop
215;0.836;0.484;2;-7.332;1;0.327;0.0454;0.0;0.0557;0.839;95.941;hiphop
216;0.791;0.759;10;-7.378;0;0.129;0.0314;0.674;0.255;0.619;102.382;hiphop
217;0.763;0.786;10;-6.472;0;0.229;0.0146;0.0114;0.0817;0.504;93.857;hiphop
218;0.711;0.62;11;-10.174;0;0.212;0.0175;0.0;0.134;0.805;179.817;hiphop
219;0.733;0.67;10;-3.532;0;0.132;0.119;0.0;0.442;0.763;86.983;hiphop
220;0.757;0.725;8;-6.524;1;0.303;0.369;0.00139;0.431;0.707;103.014;hiphop
221;0.479;0.549;11;-10.551;0;0.373;0.57;0.0239;0.127;0.576;180.985;hiphop
222;0.836;0.728;10;-12.058;0;0.234;0.00569;0.000819;0.0649;0.599;100.842;hiphop
223;0.801;0.757;7;-8.01;1;0.316;0.478;1.32e-05;0.163;0.607;88.025;hiphop
224;0.65;0.9;1;-4.099;0;0.374;0.0252;0.0;0.176;0.659;89.788;hiphop
225;0.713;0.597;6;-10.741;0;0.37;0.0314;0.0;0.0348;0.803;169.646;hiphop
226;0.658;0.771;4;-4.318;1;0.271;0.016;0.0;0.654;0.516;85.949;hiphop
227;0.682;0.647;8;-7.332;1;0.189;0.000693;5.97e-06;0.0693;0.529;181.86;hiphop
228;0.876;0.42;0;-18.246;0;0.279;0.188;0.00186;0.0668;0.706;98.304;hiphop
229;0.683;0.902;1;-7.389;0;0.291;0.219;0.000761;0.226;0.724;90.447;hiphop
230;0.956;0.72;11;-13.476;0;0.137;0.000844;0.0;0.0597;0.961;127.872;hiphop
231;0.858;0.76;4;-7.895;0;0.254;0.0217;0.0;0.322;0.951;93.082;hiphop
232;0.729;0.442;11;-8.106;0;0.285;0.151;0.0;0.189;0.757;81.029;hiphop
233;0.567;0.587;9;-5.626;0;0.0417;0.867;0.0;0.13;0.572;83.046;hiphop
234;0.779;0.641;2;-11.228;1;0.158;0.134;8.19e-06;0.0831;0.885;164.976;hiphop
235;0.798;0.888;10;-4.415;0;0.16;0.104;9.47e-06;0.323;0.661;99.608;hiphop
236;0.665;0.91;6;-4.682;0;0.223;0.0394;0.0;0.227;0.887;84.099;hiphop
237;0.525;0.724;6;-11.282;0;0.173;0.0106;1.15e-05;0.0563;0.91;186.531;hiphop
238;0.763;0.541;9;-8.843;0;0.329;0.466;0.0;0.0693;0.885;90.032;hiphop
239;0.886;0.512;10;-11.825;0;0.237;0.207;0.0;0.0991;0.454;93.997;hiphop
240;0.761;0.683;2;-10.889;1;0.164;0.141;0.0;0.342;0.671;101.787;hiphop
241;0.805;0.653;8;-11.251;0;0.185;0.138;0.0;0.1;0.257;100.349;hiphop
242;0.867;0.679;10;-12.028;0;0.207;0.0336;1.59e-06;0.0742;0.68;101.293;hiphop
243;0.894;0.625;10;-7.339;0;0.354;0.142;0.0;0.387;0.809;90.121;hiphop
244;0.765;0.29;4;-17.117;0;0.139;0.0279;0.0;0.571;0.506;92.409;hiphop
245;0.732;0.554;10;-8.403;0;0.27;0.204;0.0;0.1;0.951;161.233;hiphop
246;0.778;0.578;9;-7.22;0;0.274;0.432;0.0;0.138;0.758;84.487;hiphop
247;0.89;0.716;1;-9.673;1;0.296;0.174;0.000589;0.0657;0.656;99.987;hiphop
248;0.681;0.529;7;-7.897;0;0.0341;0.201;0.0;0.184;0.568;91.081;hiphop
249;0.721;0.949;6;-5.685;1;0.278;0.0495;0.0;0.327;0.835;83.028;hiphop
250;0.464;0.0358;7;-20.836;0;0.0454;0.941;0.178;0.0836;0.187;77.57;jazz
251;0.394;0.441;8;-14.237;1;0.0371;0.692;0.0375;0.105;0.629;90.058;jazz
252;0.558;0.0891;2;-17.633;0;0.0643;0.946;0.924;0.0966;0.13;100.523;jazz
253;0.568;0.261;10;-16.72;1;0.0292;0.73;0.182;0.977;0.405;84.463;jazz
254;0.395;0.121;9;-23.427;1;0.0327;0.935;0.397;0.697;0.139;114.521;jazz
255;0.34;0.0837;3;-12.072;1;0.042;0.985;0.761;0.0945;0.119;138.689;jazz
256;0.308;0.114;5;-20.291;1;0.0399;0.912;0.919;0.169;0.163;79.261;jazz
257;0.476;0.217;8;-10.75;1;0.0308;0.892;6.09e-05;0.0966;0.121;116.079;jazz
258;0.505;0.145;8;-11.153;1;0.0357;0.97;0.933;0.0847;0.346;125.848;jazz
259;0.634;0.327;0;-9.703;0;0.0551;0.709;0.0131;0.158;0.498;80.825;jazz
260;0.742;0.671;5;-8.142;0;0.0407;0.794;0.00441;0.122;0.591;127.359;jazz
261;0.339;0.342;7;-7.596;0;0.0313;0.962;0.319;0.162;0.393;132.599;jazz
262;0.575;0.187;0;-13.081;0;0.0513;0.927;0.876;0.166;0.342;107.469;jazz
263;0.611;0.292;2;-18.391;1;0.0646;0.762;0.000146;0.0571;0.544;83.424;jazz
264;0.336;0.0619;5;-20.494;0;0.0363;0.985;0.891;0.11;0.197;60.705;jazz
265;0.539;0.403;8;-9.168;1;0.0531;0.794;0.000613;0.278;0.699;165.301;jazz
266;0.376;0.278;0;-8.597;0;0.0416;0.912;0.886;0.0728;0.199;62.055;jazz
267;0.671;0.352;0;-11.511;1;0.0556;0.532;0.000141;0.11;0.396;120.235;jazz
268;0.542;0.32;8;-9.975;1;0.0387;0.907;0.649;0.0609;0.206;116.648;jazz
269;0.427;0.114;2;-22.546;0;0.0509;0.843;0.863;0.0966;0.114;60.484;jazz
